Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Atletica%20e1ccb898bfbb4073ab23132bd6577f52.md),,0,-5,[Nome PG] (%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Acrobazia%20e57b873b4a1f416094a9bb10587dc61d.md), Furtività (Furtivita%CC%80%205353b324f71b4995bb927f9dbdd517bf.md), Rapidità di mano (Rapidita%CC%80%20di%20mano%209ab9e9aea2c34728b752436165079592.md)",,"0,0,0","-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Arcano%20d63040677ec246f5bfa9d1047757fa1e.md), Indagare (Indagare%20cbac1b5858354bb6a61fd02d6bc039be.md), Natura (Natura%20be166a0fd7cc4eefaf20137c6f474bd5.md), Religione (Religione%2065ceb250d04d43978abc2be31f7f984b.md), Storia (Storia%20074989d873ad4101a08487d2a72b349e.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Addestrare%20animali%202b36d690fc6346debaadfad53f7769e7.md), Intuizione (Intuizione%20bb3095ab460646bf894218633d3ee380.md), Medicina (Medicina%2010f69523659441f4b8a60f63f1b0b0ed.md), Percezione (Percezione%207459f3dfe00a416885147cfcaad7fa53.md), Sopravvivenza (Sopravvivenza%2033f941ff21dc42099bf7f56d2760f6f5.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Inganno%2048df0751377548acbcf0c2a9e1509a79.md), Intimidire (Intimidire%205b0e99409ec44d7abf5ab65476f854c8.md), Intrattenere (Intrattenere%208b8ffead656d4748a0f47fe7b268af5d.md), Persuasione (Persuasione%202fe4105a312442eab4ba25b01d32fc2b.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Persuasione,No,,-5,-5,0,ABI,Carisma (Carisma%20374b7d7c81ad40a6bb9799020db2947e.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Saggezza%20bf4088d7986941e28251cb3d2c451c6c.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Carisma%20374b7d7c81ad40a6bb9799020db2947e.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20dfc84c9e66244c50a87da25ce18bffc2.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Destrezza%201a12782aeb764225af7635ecb22aac45.md),,1,0,,,0
Intimidire,No,,-5,-5,0,ABI,Carisma (Carisma%20374b7d7c81ad40a6bb9799020db2947e.md),,1,0,,,0
Percezione,No,,-5,-5,0,ABI,Saggezza (Saggezza%20bf4088d7986941e28251cb3d2c451c6c.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Saggezza%20bf4088d7986941e28251cb3d2c451c6c.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20dfc84c9e66244c50a87da25ce18bffc2.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20dfc84c9e66244c50a87da25ce18bffc2.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20dfc84c9e66244c50a87da25ce18bffc2.md),,1,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Forza%20412bdddd487a4359907887bf7d9ca828.md),,1,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Saggezza%20bf4088d7986941e28251cb3d2c451c6c.md),,1,0,,,0
Acrobazia,Yes,,-5,-5,0,ABI,Destrezza (Destrezza%201a12782aeb764225af7635ecb22aac45.md),,1,0,,,1
Addestrare animali,No,,-5,-5,0,ABI,Saggezza (Saggezza%20bf4088d7986941e28251cb3d2c451c6c.md),,1,0,,,0
Religione,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20dfc84c9e66244c50a87da25ce18bffc2.md),,1,0,,,0
Intrattenere,No,,-5,-5,0,ABI,Carisma (Carisma%20374b7d7c81ad40a6bb9799020db2947e.md),,1,0,,,0
Rapidità di mano,No,,-5,-5,0,ABI,Destrezza (Destrezza%201a12782aeb764225af7635ecb22aac45.md),,1,0,,,0
