Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Atletica%20695026d5b8bf466c82c2f95339c5d1a4.md),,0,-5,[Nome PG] (%5BNome%20PG%5D%20e3075927cf4c4c3e8c8385cb2f471d6a.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (%5BNome%20PG%5D%20e3075927cf4c4c3e8c8385cb2f471d6a.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Acrobazia%20d5088b399b174b798680feeca3604092.md), Furtività (Furtivita%CC%80%206c590fd1175a4e338c1c107fbca2c437.md), Rapidità di mano (Rapidita%CC%80%20di%20mano%200b0ab4f1c13f44ee80fecad2cbcbe7a2.md)",,"0,0,0","-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20e3075927cf4c4c3e8c8385cb2f471d6a.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Arcano%20a706d5d4a97b468ca35fa585521e6d68.md), Indagare (Indagare%20292bdf5c06194883a297608330d72211.md), Natura (Natura%2093d590e121164140b053607fedc95cb4.md), Religione (Religione%2001310709d6c74766a0cef7d8787a5376.md), Storia (Storia%2019d220c236994112ba832eef1e764b3d.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20e3075927cf4c4c3e8c8385cb2f471d6a.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Addestrare%20animali%20329bd2e67bce461b90afe4c591ec11cf.md), Intuizione (Intuizione%2095e2bacfd6c245d8bb138b2b2e0a3f97.md), Medicina (Medicina%206722067edd5c46209596ea021e57873e.md), Percezione (Percezione%20e9553d2bb86d4978bc260b878ad10473.md), Sopravvivenza (Sopravvivenza%209ab76f2e57164e9e8a1676729716ce06.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20e3075927cf4c4c3e8c8385cb2f471d6a.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Inganno%2059fa7a32e0cb42f894338570091a57af.md), Intimidire (Intimidire%208d21fe3bf1c14ca193b718ff1b31a93b.md), Intrattenere (Intrattenere%204604be79524e42faae1e7413f9cfd60d.md), Persuasione (Persuasione%201e18010e7b5642e796ecb24200b8e1be.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20e3075927cf4c4c3e8c8385cb2f471d6a.md),1,-5
Persuasione,No,,-5,-5,0,ABI,Carisma (Carisma%2085412b6f15bc4bb7950d44c4e8a85c74.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%206f2f47dddf0e456aacb775e03da7ad5b.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Carisma%2085412b6f15bc4bb7950d44c4e8a85c74.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Destrezza%20992aeadc07be4cbaa961e37414afb0b9.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%206f2f47dddf0e456aacb775e03da7ad5b.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Saggezza%2094456b890ea247348245cd71e07484ad.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%206f2f47dddf0e456aacb775e03da7ad5b.md),,1,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Forza%20e903489c92c14a6aad88f9f0ddde5f41.md),,1,0,,,0
Intimidire,No,,-5,-5,0,ABI,Carisma (Carisma%2085412b6f15bc4bb7950d44c4e8a85c74.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Saggezza%2094456b890ea247348245cd71e07484ad.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%206f2f47dddf0e456aacb775e03da7ad5b.md),,1,0,,,0
Percezione,No,,-5,-5,0,ABI,Saggezza (Saggezza%2094456b890ea247348245cd71e07484ad.md),,1,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Saggezza%2094456b890ea247348245cd71e07484ad.md),,1,0,,,0
Religione,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%206f2f47dddf0e456aacb775e03da7ad5b.md),,1,0,,,0
Intrattenere,No,,-5,-5,0,ABI,Carisma (Carisma%2085412b6f15bc4bb7950d44c4e8a85c74.md),,1,0,,,0
Acrobazia,Yes,,-5,-5,0,ABI,Destrezza (Destrezza%20992aeadc07be4cbaa961e37414afb0b9.md),,1,0,,,1
Rapidità di mano,No,,-5,-5,0,ABI,Destrezza (Destrezza%20992aeadc07be4cbaa961e37414afb0b9.md),,1,0,,,0
Addestrare animali,No,,-5,-5,0,ABI,Saggezza (Saggezza%2094456b890ea247348245cd71e07484ad.md),,1,0,,,0
