Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Atletica%20e7af8882ef5e468b9d40d384bead449a.md),,0,-5,[Nome PG] (%5BNome%20PG%5D%200c300b1462c04001946ba0792a7f8f81.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (%5BNome%20PG%5D%200c300b1462c04001946ba0792a7f8f81.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Acrobazia%20d5581e21e13343cdbf930ed0c84a119b.md), Furtività (Furtivita%CC%80%2021652f53b5ef4412aa0d223964904a9d.md), Rapidità di mano (Rapidita%CC%80%20di%20mano%20190a944d80264de0bb0dee6e379e54b6.md)",,"0,0,0","-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%200c300b1462c04001946ba0792a7f8f81.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Arcano%20eae9a819c97845f28449b49ca653fd5d.md), Indagare (Indagare%208b1aa19a9b2140c495ad30a6cbf41cc2.md), Natura (Natura%207e44e599397a47b28e149e550ddbdef3.md), Religione (Religione%2042ec66b168104daa9469519fb5cdc486.md), Storia (Storia%202e434f86fdbf4e9ab69f479938a4ea5e.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%200c300b1462c04001946ba0792a7f8f81.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Addestrare%20animali%20c8d2f023d9c745a3a97cdc47efb740fa.md), Intuizione (Intuizione%20f7de40b3067946ed9fc15164566ca020.md), Medicina (Medicina%20a958a8c1cec843b393d89649767876c7.md), Percezione (Percezione%2099880556d2874e22a05dd6b723288774.md), Sopravvivenza (Sopravvivenza%20d4cdb130bfc3456da74e547ae280b05f.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%200c300b1462c04001946ba0792a7f8f81.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Inganno%202c00f244380a4ad487e1903e401ec351.md), Intimidire (Intimidire%2031060aed191c4adaa2b83f771f1980a9.md), Intrattenere (Intrattenere%20fc6096b3e3f44278b32f30dec9a9c13e.md), Persuasione (Persuasione%20fcfde97cae3b494f883e43e6264259c4.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%200c300b1462c04001946ba0792a7f8f81.md),1,-5
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Saggezza%20507aee722b8a4e3caf31a00474cbe705.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Destrezza%209674c2b974d3479eb20a651a8dd42ca4.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Carisma%201ecf6059938d48fdad0224e7cacbb4d6.md),,1,0,,,0
Religione,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20b19c44cf8bc541bbbf0f2d1d3da08892.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20b19c44cf8bc541bbbf0f2d1d3da08892.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20b19c44cf8bc541bbbf0f2d1d3da08892.md),,1,0,,,0
Rapidità di mano,No,,-5,-5,0,ABI,Destrezza (Destrezza%209674c2b974d3479eb20a651a8dd42ca4.md),,1,0,,,0
Addestrare animali,No,,-5,-5,0,ABI,Saggezza (Saggezza%20507aee722b8a4e3caf31a00474cbe705.md),,1,0,,,0
Intrattenere,No,,-5,-5,0,ABI,Carisma (Carisma%201ecf6059938d48fdad0224e7cacbb4d6.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Carisma%201ecf6059938d48fdad0224e7cacbb4d6.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20b19c44cf8bc541bbbf0f2d1d3da08892.md),,1,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Saggezza%20507aee722b8a4e3caf31a00474cbe705.md),,1,0,,,0
Acrobazia,Yes,,-5,-5,0,ABI,Destrezza (Destrezza%209674c2b974d3479eb20a651a8dd42ca4.md),,1,0,,,1
Atletica,No,,-5,-5,0,ABI,Forza (Forza%20d9680010cf9a4db5b1534c5d0b37bbd1.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Saggezza%20507aee722b8a4e3caf31a00474cbe705.md),,1,0,,,0
Intimidire,No,,-5,-5,0,ABI,Carisma (Carisma%201ecf6059938d48fdad0224e7cacbb4d6.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20b19c44cf8bc541bbbf0f2d1d3da08892.md),,1,0,,,0
Percezione,No,,-5,-5,0,ABI,Saggezza (Saggezza%20507aee722b8a4e3caf31a00474cbe705.md),,1,0,,,0
