Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Atletica%20805f0ef7de2644db9359341a19b94b5b.md),,0,-5,[Nome PG] (%5BNome%20PG%5D%20c493e3caa2da453fb4f4d1a4c924f7f3.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (%5BNome%20PG%5D%20c493e3caa2da453fb4f4d1a4c924f7f3.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Acrobazia%20a608476e7d8842c29abc06f690c29d3a.md), Furtività (Furtivita%CC%80%2020bddafb6ee44e0bb4fff9c1cc6c2579.md), Rapidità di mano (Rapidita%CC%80%20di%20mano%20d89afaeb251c4e898954db3d1e0abe67.md)",,"0,0,0","-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20c493e3caa2da453fb4f4d1a4c924f7f3.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Arcano%202afa18ef3e164c83a1bd77ca7585eb21.md), Indagare (Indagare%2021b481a29df64a6cb17f806fdc51b720.md), Natura (Natura%201f59953b9ed14b83b166a6f25c763b7c.md), Religione (Religione%20d2ed08b66f184acc9ce3955e976964a8.md), Storia (Storia%20654eee71a4a94581993a5f3a31fe830d.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20c493e3caa2da453fb4f4d1a4c924f7f3.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Addestrare%20animali%20d9e063308e2a4d67b0d5c1defe9d44e5.md), Intuizione (Intuizione%20815a16d9fad24663b25f03cbce2a295d.md), Medicina (Medicina%209898c1c37afa4bb09ba121dd2a492842.md), Percezione (Percezione%207699419c2a1c4061b8f5e5054c5be911.md), Sopravvivenza (Sopravvivenza%201d288dd820754291a0006f75c8f28029.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20c493e3caa2da453fb4f4d1a4c924f7f3.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Inganno%20061eb7d090fc4fbc91f0c24615bb92d8.md), Intimidire (Intimidire%2027fe10f070a4477d839ca4fa07eaa283.md), Intrattenere (Intrattenere%20bce8fdbaa02d4b4fb804775fadb7f9ed.md), Persuasione (Persuasione%2013653637bda44902aa4aa372b06398d7.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20c493e3caa2da453fb4f4d1a4c924f7f3.md),1,-5
Intimidire,No,,-5,-5,0,ABI,Carisma (Carisma%20a01a31a8566340a1aedf12e7b1682a19.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Saggezza%20a8726103e53547ada06413bc41d7a166.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Saggezza%20a8726103e53547ada06413bc41d7a166.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20fabc4cff565a4cc19f7b93e4e44c1d15.md),,1,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Forza%209587a13e9083428996bc14a43a4373ff.md),,1,0,,,0
Acrobazia,Yes,,-5,-5,0,ABI,Destrezza (Destrezza%20a10a69ddff314eff848538615f5d7a19.md),,1,0,,,1
Intrattenere,No,,-5,-5,0,ABI,Carisma (Carisma%20a01a31a8566340a1aedf12e7b1682a19.md),,1,0,,,0
Religione,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20fabc4cff565a4cc19f7b93e4e44c1d15.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Carisma%20a01a31a8566340a1aedf12e7b1682a19.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Carisma%20a01a31a8566340a1aedf12e7b1682a19.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Destrezza%20a10a69ddff314eff848538615f5d7a19.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20fabc4cff565a4cc19f7b93e4e44c1d15.md),,1,0,,,0
Percezione,No,,-5,-5,0,ABI,Saggezza (Saggezza%20a8726103e53547ada06413bc41d7a166.md),,1,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Saggezza%20a8726103e53547ada06413bc41d7a166.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20fabc4cff565a4cc19f7b93e4e44c1d15.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20fabc4cff565a4cc19f7b93e4e44c1d15.md),,1,0,,,0
Rapidità di mano,No,,-5,-5,0,ABI,Destrezza (Destrezza%20a10a69ddff314eff848538615f5d7a19.md),,1,0,,,0
Addestrare animali,No,,-5,-5,0,ABI,Saggezza (Saggezza%20a8726103e53547ada06413bc41d7a166.md),,1,0,,,0
