Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,2,STAT,Atletica (Atletica%20cc75159055d84e889e5d8693513169a8.md),,0,-5,[Nome PG] (%5BNome%20PG%5D%20d984e1941feb47e69ea2376b3033ee8b.md),8,-5
Costituzione,No,10,0,0,2,STAT,,,,,[Nome PG] (%5BNome%20PG%5D%20d984e1941feb47e69ea2376b3033ee8b.md),8,
Destrezza,No,10,0,0,2,STAT,"Acrobazia (Acrobazia%208aaa3c7ad4314cf99264f57e896b28f1.md), Furtività (Furtivita%CC%80%200a379c9a9e4c4ca78172c58eb0902043.md), Rapidità di mano (Rapidita%CC%80%20di%20mano%20a9a5defd4e32405d98644c0a5ea61103.md)",,"0,0,0","-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20d984e1941feb47e69ea2376b3033ee8b.md),8,-5
Intelligenza,No,10,0,0,2,STAT,"Arcano (Arcano%20aaadc2843a0d40b7aed94f73121f0e79.md), Indagare (Indagare%20e32675c88a064f8493e78ffc010df43f.md), Natura (Natura%20ddbb95619494445cbb1f6b483862693e.md), Religione (Religione%201f7f8a72c6d4457e9d655f8e1045892f.md), Storia (Storia%201d352c41dde8405faaf966fe48022c1a.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20d984e1941feb47e69ea2376b3033ee8b.md),8,-5
Saggezza,No,10,0,0,2,STAT,"Addestrare animali (Addestrare%20animali%20733e818b5a5441d6af0e67149eeab7d1.md), Intuizione (Intuizione%2033be7f2164dd4c249b74ffd32ee44e02.md), Medicina (Medicina%2083aaee19f90b40bb9ad0cf690a95bc04.md), Percezione (Percezione%202542933d311a49b8bae5f6848363f34b.md), Sopravvivenza (Sopravvivenza%20895ab83a9c514ed48dc295b3f7140ac8.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20d984e1941feb47e69ea2376b3033ee8b.md),8,-5
Carisma,No,10,0,0,2,STAT,"Inganno (Inganno%203bc4cc6d284840b0bd6e86a1b2c4cd52.md), Intimidire (Intimidire%20ee8f49636b444c39b5a516c8a4f0776a.md), Intrattenere (Intrattenere%20c8014bc90d7b4a8482aa78de9aea8552.md), Persuasione (Persuasione%2098d287a5158f4575906df46e27ea5dfc.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20d984e1941feb47e69ea2376b3033ee8b.md),8,-5
Furtività,No,,-5,-5,0,ABI,Destrezza (Destrezza%207a09f79a19ee47a99123c9d22a6136af.md),,2,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Carisma%20cf70ab1b92994433bdbc4479887e25b2.md),,2,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Saggezza%2066e59b050d604fdb9f941f6ede075a47.md),,2,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Carisma%20cf70ab1b92994433bdbc4479887e25b2.md),,2,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20013f15cfda6d442499c2ec8c0ce053ea.md),,2,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20013f15cfda6d442499c2ec8c0ce053ea.md),,2,0,,,0
Percezione,No,,-5,-5,0,ABI,Saggezza (Saggezza%2066e59b050d604fdb9f941f6ede075a47.md),,2,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Saggezza%2066e59b050d604fdb9f941f6ede075a47.md),,2,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Saggezza%2066e59b050d604fdb9f941f6ede075a47.md),,2,0,,,0
Acrobazia,Yes,,-5,-5,0,ABI,Destrezza (Destrezza%207a09f79a19ee47a99123c9d22a6136af.md),,2,0,,,2
Arcano,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20013f15cfda6d442499c2ec8c0ce053ea.md),,2,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Forza%2010f7ef5bdd5b47e9928a34eea1501b2d.md),,2,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20013f15cfda6d442499c2ec8c0ce053ea.md),,2,0,,,0
Intimidire,No,,-5,-5,0,ABI,Carisma (Carisma%20cf70ab1b92994433bdbc4479887e25b2.md),,2,0,,,0
Religione,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%20013f15cfda6d442499c2ec8c0ce053ea.md),,2,0,,,0
Addestrare animali,No,,-5,-5,0,ABI,Saggezza (Saggezza%2066e59b050d604fdb9f941f6ede075a47.md),,2,0,,,0
Rapidità di mano,No,,-5,-5,0,ABI,Destrezza (Destrezza%207a09f79a19ee47a99123c9d22a6136af.md),,2,0,,,0
Intrattenere,No,,-5,-5,0,ABI,Carisma (Carisma%20cf70ab1b92994433bdbc4479887e25b2.md),,2,0,,,0
