Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Atletica%208bab799b37834b07bbfb475444539953.md),,0,-5,[Nome PG] (%5BNome%20PG%5D%20affa302390df407295adfe4a5f0a4bfd.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (%5BNome%20PG%5D%20affa302390df407295adfe4a5f0a4bfd.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Acrobazia%2000070e4de8e4486a9ef557196d315c95.md), Furtività (Furtivita%CC%80%203f7aacacf75f44c393eeb7c273179dc9.md), Rapidità di mano (Rapidita%CC%80%20di%20mano%2017b77e013b864a449f1f83cd56e20481.md)",,"0,0,0","-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20affa302390df407295adfe4a5f0a4bfd.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Arcano%20e11127248a044c50aa33ea00e4742c00.md), Indagare (Indagare%202b929289cbc44958bfef569ed182c86e.md), Natura (Natura%204e91c54445d449b484a699847ecca921.md), Religione (Religione%2059bc2c10d3cd40b9ae4b3dc9f994d119.md), Storia (Storia%20950472b4a9a04d5a83d714c0002238b7.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20affa302390df407295adfe4a5f0a4bfd.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Addestrare%20animali%20765302a78da84acdaff2e9210771c7ec.md), Intuizione (Intuizione%203137bad8cd1744bfa77a26660939845f.md), Medicina (Medicina%20d48a22da882a4286b7a87044f0ff6981.md), Percezione (Percezione%20dac4b7bd6f8c4adeaee3a49f763346f4.md), Sopravvivenza (Sopravvivenza%2025c94340c000478283c0b4a527d20a44.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20affa302390df407295adfe4a5f0a4bfd.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Inganno%2017f8427d9b4e4c528317370fe741f74f.md), Intimidire (Intimidire%20859ddf44bbea4b3e93e2cd1b180d7854.md), Intrattenere (Intrattenere%20060c85fb8e44427f82bf4f74c9bff30f.md), Persuasione (Persuasione%20617df8fef929482d90486ad22f5c3422.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (%5BNome%20PG%5D%20affa302390df407295adfe4a5f0a4bfd.md),1,-5
Inganno,No,,-5,-5,0,ABI,Carisma (Carisma%20f02f31df9a30481291ce40dd05d69e43.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Saggezza%2021f07aacc3894ca098d3b0f89d8c7675.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Carisma%20f02f31df9a30481291ce40dd05d69e43.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%207691b0d2fe9a47fc8edfcc7a284b09b1.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Destrezza%208b1681bfba4c4611940306c53ff15cb0.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%207691b0d2fe9a47fc8edfcc7a284b09b1.md),,1,0,,,0
Intimidire,No,,-5,-5,0,ABI,Carisma (Carisma%20f02f31df9a30481291ce40dd05d69e43.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%207691b0d2fe9a47fc8edfcc7a284b09b1.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%207691b0d2fe9a47fc8edfcc7a284b09b1.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Saggezza%2021f07aacc3894ca098d3b0f89d8c7675.md),,1,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Forza%20689388129f884461aea605188a6610ef.md),,1,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Saggezza%2021f07aacc3894ca098d3b0f89d8c7675.md),,1,0,,,0
Percezione,No,,-5,-5,0,ABI,Saggezza (Saggezza%2021f07aacc3894ca098d3b0f89d8c7675.md),,1,0,,,0
Acrobazia,Yes,,-5,-5,0,ABI,Destrezza (Destrezza%208b1681bfba4c4611940306c53ff15cb0.md),,1,0,,,1
Intrattenere,No,,-5,-5,0,ABI,Carisma (Carisma%20f02f31df9a30481291ce40dd05d69e43.md),,1,0,,,0
Rapidità di mano,No,,-5,-5,0,ABI,Destrezza (Destrezza%208b1681bfba4c4611940306c53ff15cb0.md),,1,0,,,0
Religione,No,,-5,-5,0,ABI,Intelligenza (Intelligenza%207691b0d2fe9a47fc8edfcc7a284b09b1.md),,1,0,,,0
Addestrare animali,No,,-5,-5,0,ABI,Saggezza (Saggezza%2021f07aacc3894ca098d3b0f89d8c7675.md),,1,0,,,0
