Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Atletica%2098e94801b8b24ddc88bd846a1e51432e.md),,0,-5,[Nome PG] (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Info%20PG%20f9257877918c439f8332081b5e2452c2/%5BNome%20PG%5D%204d26208e77ae4af8aeb0de4cf5f8271b.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Info%20PG%20f9257877918c439f8332081b5e2452c2/%5BNome%20PG%5D%204d26208e77ae4af8aeb0de4cf5f8271b.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Acrobazia%20ff65d72f97e84550b8a540108e4820c4.md), Furtività (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Furtivita%CC%80%2058410a2ebda84edfb5a0a6df56bf75f0.md), Rapidità di mano (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Rapidita%CC%80%20di%20mano%20f953adef1cc34c35aba3bc6919bf64c2.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Info%20PG%20f9257877918c439f8332081b5e2452c2/%5BNome%20PG%5D%204d26208e77ae4af8aeb0de4cf5f8271b.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Arcano%201cfd50f88cde4bccb2996a157321905e.md), Indagare (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Indagare%20f9f2d971f64a46b5b7024da128c389ee.md), Natura (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Natura%2027c1a5f2451a49c68cc50edd0fab2214.md), Religione (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Religione%20f1e7fcb58b984922b1652c871469b99e.md), Storia (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Storia%20d17f712120d54431b723fa7ccdc9d479.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Info%20PG%20f9257877918c439f8332081b5e2452c2/%5BNome%20PG%5D%204d26208e77ae4af8aeb0de4cf5f8271b.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Addestrare%20animali%20b397dbee3c2742ce9c737af56ba31f0c.md), Intuizione (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Intuizione%209424b0e684c943c5a313d34d2707e12e.md), Medicina (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Medicina%200e54c5c7aa7e4e9585f5a22cca6bb25f.md), Percezione (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Percezione%20d6a218c417bd4af5aad10ec7a58563b2.md), Sopravvivenza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Sopravvivenza%20be254d5b340e4ec9b639c08c2efe3399.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Info%20PG%20f9257877918c439f8332081b5e2452c2/%5BNome%20PG%5D%204d26208e77ae4af8aeb0de4cf5f8271b.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Inganno%20d8b2b8a23fdc4307b3d32b82f84ba0b7.md), Intimidire (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Intimidire%20aa0ecf7fad164cf183bd2618f7902935.md), Intrattenere (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Intrattenere%20353a439a4c8848c58b3cd56a619bb437.md), Persuasione (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Persuasione%2077ea7f57def14d6a9eb1a66f13755413.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Info%20PG%20f9257877918c439f8332081b5e2452c2/%5BNome%20PG%5D%204d26208e77ae4af8aeb0de4cf5f8271b.md),1,-5
Inganno,No,,-5,-5,0,ABI,Carisma (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Carisma%20a971211785424a8c93cb66286894335f.md),,1,0,,,0
Medicina,No,,-5,-5,0,ABI,Saggezza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Saggezza%20bc9a5bbb3203450c919e2c335fbb71b7.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Intelligenza%203429561fecb44c7b8df65e8447f42abb.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Intelligenza%203429561fecb44c7b8df65e8447f42abb.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Destrezza%203367fa7b90ce45e8972efc877bf2134d.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Carisma%20a971211785424a8c93cb66286894335f.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Saggezza%20bc9a5bbb3203450c919e2c335fbb71b7.md),,1,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Forza%2082f339b673a24c02ad3ad77945a0a33c.md),,1,0,,,0
Intimidire,No,,-5,-5,0,ABI,Carisma (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Carisma%20a971211785424a8c93cb66286894335f.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Saggezza%20bc9a5bbb3203450c919e2c335fbb71b7.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Arietta%20Berti%20adce52afef5f46068374483fcdda54c9/Abilita%CC%80%2001d18c05f5194fafac229faf5a23bbc2/Intelligenza%203429561fecb44c7b8df65e8447f42abb.md),,1,0,,,0
