Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Atletica%20a59f64f50c4c4042bd9cbc9bfd67ba42.md),,0,-5,Bohr Ra (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Info%20PG%208f526b9700b548eaac588929e340905c/Bohr%20Ra%2066940b5aa8e14b008ff050e487a7f1c1.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,Bohr Ra (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Info%20PG%208f526b9700b548eaac588929e340905c/Bohr%20Ra%2066940b5aa8e14b008ff050e487a7f1c1.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Acrobazia%20ef4808511ab8456cbfd777e1b471ff06.md), Furtività (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Furtivita%CC%80%20224af83fe08948f496d7a096b3d7c3d7.md), Rapidità di mano (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Rapidita%CC%80%20di%20mano%209a5cae23692b43c4b3a65712398522b5.md)",,"0,0,0","-5,-5,-5",Bohr Ra (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Info%20PG%208f526b9700b548eaac588929e340905c/Bohr%20Ra%2066940b5aa8e14b008ff050e487a7f1c1.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Arcano%204d9ddd9825f7479f856e129daeaa8703.md), Indagare (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Indagare%20c0c7ba95bee64ece904d0f1fd5e904fe.md), Natura (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Natura%201ec2c0e0246a4d898a2832eb7998bf28.md), Religione (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Religione%20405b4680c95b4350ac58306d2ba6deae.md), Storia (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Storia%20117ef87034b241d19423e5972c6dd411.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",Bohr Ra (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Info%20PG%208f526b9700b548eaac588929e340905c/Bohr%20Ra%2066940b5aa8e14b008ff050e487a7f1c1.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Addestrare%20animali%20f2e2b5d7aa2943e5aa7a0c873382986b.md), Intuizione (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Intuizione%2051c2588627d04356ba83bfd6e58b0e16.md), Medicina (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Medicina%209cab7e3e2f5f4dc892edacde7b894bfa.md), Percezione (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Percezione%206cb1bc5d04d9475c8ad664fdb79dfdb4.md), Sopravvivenza (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Sopravvivenza%20b7a79b1178f7452786d3288ed009b97a.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",Bohr Ra (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Info%20PG%208f526b9700b548eaac588929e340905c/Bohr%20Ra%2066940b5aa8e14b008ff050e487a7f1c1.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Inganno%20f7309e07981249aa96bc84eab3c88437.md), Intimidire (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Intimidire%2025c93c43da404e19a1402d6c57f69016.md), Intrattenere (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Intrattenere%205d56372b524545d6a327a4221cd8e024.md), Persuasione (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Persuasione%20e30cfd25d92b48369f40bcfe3f34ec9b.md)",,"0,0,0,0","-5,-5,-5,-5",Bohr Ra (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Info%20PG%208f526b9700b548eaac588929e340905c/Bohr%20Ra%2066940b5aa8e14b008ff050e487a7f1c1.md),1,-5
Natura,No,,-5,-5,0,ABI,Intelligenza (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Intelligenza%206c06104bf3ba4c73ad499ef033b99ee0.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Saggezza%206d944872984b4cde99a0a092d51e2191.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Carisma%200745fc43260c4b51b361203ad7327e30.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Bohr%20Ra%2064449ef6c46549e9abf62b9d7e01a69d/Abilita%CC%80%2082f8e70a09d245fe86b3ea906fa4405e/Carisma%200745fc43260c4b51b361203ad7327e30.md),,1,0,,,0
