Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Atletica%209948c1c820bf4196a624dedab66219af.md),,0,-5,[Nome PG] (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Info%20PG%207c4b83bfcd2e4a5382b1fdc0695356d4/%5BNome%20PG%5D%208ae88b6863284c87a8d48661b87834f4.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Info%20PG%207c4b83bfcd2e4a5382b1fdc0695356d4/%5BNome%20PG%5D%208ae88b6863284c87a8d48661b87834f4.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Acrobazia%20225d1dd191dc4d63952f47730d428b28.md), Furtività (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Furtivita%CC%80%20082c837e1bb94fb78471f442cfa1ed9e.md), Rapidità di mano (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Rapidita%CC%80%20di%20mano%2013e86cad4fad49afb6ac5985ff9b6e43.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Info%20PG%207c4b83bfcd2e4a5382b1fdc0695356d4/%5BNome%20PG%5D%208ae88b6863284c87a8d48661b87834f4.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Arcano%2008fb1807f7824327a7f988147c055c96.md), Indagare (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Indagare%20b80a2694a1344defbe0f7aa238e47c96.md), Natura (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Natura%203f694dd74ea74d1db359f0ceb71030ce.md), Religione (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Religione%20392127d85f5a451fb8cc1398831678c4.md), Storia (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Storia%2064bc80e0bc14467eb687b7c7cd15de2a.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Info%20PG%207c4b83bfcd2e4a5382b1fdc0695356d4/%5BNome%20PG%5D%208ae88b6863284c87a8d48661b87834f4.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Addestrare%20animali%2085e21b1ea2e846088600307c89164647.md), Intuizione (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Intuizione%20860beea329884241830fc11cade2bbd1.md), Medicina (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Medicina%2089275441052941c4a20efcbd9086174b.md), Percezione (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Percezione%202a15566ee6cc4e8e988223e275bab943.md), Sopravvivenza (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Sopravvivenza%208a1eab27f72c457ea15bcc41183d6c9d.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Info%20PG%207c4b83bfcd2e4a5382b1fdc0695356d4/%5BNome%20PG%5D%208ae88b6863284c87a8d48661b87834f4.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Inganno%2014e62932bfd447ffa569ae376ae78c6f.md), Intimidire (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Intimidire%20dc76f7c4e27c4ca4a6970aa96b034291.md), Intrattenere (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Intrattenere%2047bf3011e1db46aeb84490bbf615044e.md), Persuasione (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Persuasione%20d3bf1deb481f40778fbedfab5de58612.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Info%20PG%207c4b83bfcd2e4a5382b1fdc0695356d4/%5BNome%20PG%5D%208ae88b6863284c87a8d48661b87834f4.md),1,-5
Inganno,No,,-5,-5,0,ABI,Carisma (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Carisma%201bb4ec82af8e4bd88da9a01cb15de654.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Intelligenza%2050aa62c416cd4f4eb9ac3bfcfa050729.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Saggezza%200a3bd56da49c472c9f5018d9834e7aff.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Branda%20Gunnarsson%20f8c7d7de2863418e9d8a94419f4b2d74/Abilita%CC%80%20598db4b9c1424724926dfa6e5f543ee8/Carisma%201bb4ec82af8e4bd88da9a01cb15de654.md),,1,0,,,0
