Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Atletica%204d2a82ab920d45c692012aa1fc44e37a.md),,0,-5,[Nome PG] (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Info%20PG%203043847ed767416a900f6caae343507f/%5BNome%20PG%5D%2068b343bb27e94876a0db231b2cc1730e.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Info%20PG%203043847ed767416a900f6caae343507f/%5BNome%20PG%5D%2068b343bb27e94876a0db231b2cc1730e.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Acrobazia%20b1195767773540c6bb792ee55ba84559.md), Furtività (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Furtivita%CC%80%204a95c2c923dc4540ad18d26b5dfa0d00.md), Rapidità di mano (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Rapidita%CC%80%20di%20mano%203fbfebf0d97e4a71991161029355ccc0.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Info%20PG%203043847ed767416a900f6caae343507f/%5BNome%20PG%5D%2068b343bb27e94876a0db231b2cc1730e.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Arcano%208a92cc7936834cfd9c667981f0a1ad69.md), Indagare (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Indagare%2013f2e746cc414aa3967482278a8759ce.md), Natura (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Natura%208599812377074eda9088f966b2536298.md), Religione (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Religione%202083c702e7da4038a801b25be0812c6c.md), Storia (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Storia%20b1e37506ccdb4bffb2db648e1f02faca.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Info%20PG%203043847ed767416a900f6caae343507f/%5BNome%20PG%5D%2068b343bb27e94876a0db231b2cc1730e.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Addestrare%20animali%200f1a5c7eb8194682bf21759d4f777262.md), Intuizione (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Intuizione%202a0eb8175277401eaed53505be3e5b14.md), Medicina (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Medicina%20dc58b8b0f7874c2d9c823b4072a6a396.md), Percezione (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Percezione%20949b62c7a5eb4b4b9f3a7e8c13e1526d.md), Sopravvivenza (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Sopravvivenza%20849cabf2cf2c41668d09629115b3d7fc.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Info%20PG%203043847ed767416a900f6caae343507f/%5BNome%20PG%5D%2068b343bb27e94876a0db231b2cc1730e.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Inganno%20d39cb23955fb46c4aef4e9324841d2d5.md), Intimidire (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Intimidire%20d05aba0e40aa449ca434fd2a25652c8c.md), Intrattenere (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Intrattenere%208aaa3d1da8394337b6fa181d3c050829.md), Persuasione (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Persuasione%207d0c3e34d80f49179fe3171a68287a48.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Info%20PG%203043847ed767416a900f6caae343507f/%5BNome%20PG%5D%2068b343bb27e94876a0db231b2cc1730e.md),1,-5
Indagare,No,,-5,-5,0,ABI,Intelligenza (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Intelligenza%20152d4149450d4386b02b8f917edba498.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Destrezza%20f3ce011a8ca246f09904a927d87c5e74.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Carisma%2091b4521e1ff64d669e74d3278e945838.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Caravaggio%20085126a6bfcc4e48a2f654c751f29d4d/Abilita%CC%80%2088163116ffda4d90b9be228ef46e256c/Saggezza%2019c92a05c0a74b63ba4c0317fb44fa64.md),,1,0,,,0
