Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Atletica%2050db3de5a2a74f2b9df578a6b210e588.md),,0,-5,[Nome PG] (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Info%20PG%209e80d78eef0a421386b74e68cc395005/%5BNome%20PG%5D%208dfceba1d99d400e9bb4142def196747.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Info%20PG%209e80d78eef0a421386b74e68cc395005/%5BNome%20PG%5D%208dfceba1d99d400e9bb4142def196747.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Acrobazia%2076bffe219b4d44e1a85791e1ef88b526.md), Furtività (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Furtivita%CC%80%20c65c61cbb51a455da72dadc10e484b88.md), Rapidità di mano (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Rapidita%CC%80%20di%20mano%206a561a6dac3f4c31a954d9a955c09d3f.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Info%20PG%209e80d78eef0a421386b74e68cc395005/%5BNome%20PG%5D%208dfceba1d99d400e9bb4142def196747.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Arcano%206b314fe23c2f4126b3455920b7b87866.md), Indagare (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Indagare%2063e6d5bc9b6d405da9219f7b74e9eeb4.md), Natura (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Natura%20d8d128283e3f4c68bc09d3228bb7813c.md), Religione (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Religione%2046e064db059c4d7799a50ddbbe1c96ab.md), Storia (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Storia%202e9b5202bfd94b55927116872762e5b0.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Info%20PG%209e80d78eef0a421386b74e68cc395005/%5BNome%20PG%5D%208dfceba1d99d400e9bb4142def196747.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Addestrare%20animali%2055e3421e5e1e47199cb57a64c09e521c.md), Intuizione (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Intuizione%20f3cfb8feb83f407595b62ad8b70bcd42.md), Medicina (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Medicina%20789cdd3fb8e14f09b5352c05700216aa.md), Percezione (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Percezione%20b5f77d7db3f2430e8303c7a2761fd2af.md), Sopravvivenza (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Sopravvivenza%20a0f267a9495044b78c05a8518a3e720d.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Info%20PG%209e80d78eef0a421386b74e68cc395005/%5BNome%20PG%5D%208dfceba1d99d400e9bb4142def196747.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Inganno%20da6be0558b2f4db2a6623e3ff5fae645.md), Intimidire (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Intimidire%20037977aefc794b6fa1cc49089c8475c1.md), Intrattenere (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Intrattenere%20408272343e644595b83748aab17d13b3.md), Persuasione (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Persuasione%2026bf87af97b64fa8a34b644656518a03.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Info%20PG%209e80d78eef0a421386b74e68cc395005/%5BNome%20PG%5D%208dfceba1d99d400e9bb4142def196747.md),1,-5
Intimidire,No,,-5,-5,0,ABI,Carisma (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Carisma%20bbf62738772142369688234bf4ec0c1f.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Carisma%20bbf62738772142369688234bf4ec0c1f.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Intelligenza%20840ce20b71a04b8a9c0a3ab65967bd91.md),,1,0,,,0
Arcano,No,,-5,-5,0,ABI,Intelligenza (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Intelligenza%20840ce20b71a04b8a9c0a3ab65967bd91.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Saggezza%20069961c679024a6ab4740d8155918229.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Destrezza%20a241c648b6144d51905003676188b6cb.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Intelligenza%20840ce20b71a04b8a9c0a3ab65967bd91.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Disis%20Iulukinfor%20e7699726707a41be926c823d67941f78/Abilita%CC%80%202419083f5ad842df8e9e10b59a312f2e/Carisma%20bbf62738772142369688234bf4ec0c1f.md),,1,0,,,0
