Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Atletica%2048f6b392b92c4e8a993edd9d798e8fe3.md),,0,-5,[Nome PG] (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Info%20PG%20fb7eb7ba722a44cc9fb01c89ea57ab55/%5BNome%20PG%5D%20a96794a1e60645ea98a8d6a499c38e36.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Info%20PG%20fb7eb7ba722a44cc9fb01c89ea57ab55/%5BNome%20PG%5D%20a96794a1e60645ea98a8d6a499c38e36.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Acrobazia%201c0f9c18a2164f898a2bc18a572692e8.md), Furtività (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Furtivita%CC%80%20af37401a09c447f487d7c6cec7101a01.md), Rapidità di mano (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Rapidita%CC%80%20di%20mano%20bf2b731eb44d499ea25a5bf8dfd74db3.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Info%20PG%20fb7eb7ba722a44cc9fb01c89ea57ab55/%5BNome%20PG%5D%20a96794a1e60645ea98a8d6a499c38e36.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Arcano%2046641acd80414e08b8249c2c9d0ca4ed.md), Indagare (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Indagare%202759afd803ce4aef9cfab85ea3f9e2ea.md), Natura (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Natura%201c02c45d195e4df98baa5f23e91f81b8.md), Religione (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Religione%20ffa5433ac90d48af88c96bcae11938b7.md), Storia (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Storia%2005f6d2b605a94319b5aee2be84a97ab3.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Info%20PG%20fb7eb7ba722a44cc9fb01c89ea57ab55/%5BNome%20PG%5D%20a96794a1e60645ea98a8d6a499c38e36.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Addestrare%20animali%20ba76260c140540399efd9a67c8bc77c4.md), Intuizione (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Intuizione%203a537a16351f481a9d8c5550d4a5bdb0.md), Medicina (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Medicina%20fce59e91b2ba4983ad76358dc20dac83.md), Percezione (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Percezione%2046880d5acb9043e7ad87edb0018d89ff.md), Sopravvivenza (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Sopravvivenza%2090d658827bd34332b92672adeb24612b.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Info%20PG%20fb7eb7ba722a44cc9fb01c89ea57ab55/%5BNome%20PG%5D%20a96794a1e60645ea98a8d6a499c38e36.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Inganno%208885c86eedd24cd081c9d1d75b7de843.md), Intimidire (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Intimidire%20c2337f7aac3e40f8880c8d0d67ff9f4d.md), Intrattenere (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Intrattenere%2082420bb71a3f40a89640016d9de7988e.md), Persuasione (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Persuasione%20396c2b3e22f54596ac602c1c0da9d0eb.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Info%20PG%20fb7eb7ba722a44cc9fb01c89ea57ab55/%5BNome%20PG%5D%20a96794a1e60645ea98a8d6a499c38e36.md),1,-5
Persuasione,No,,-5,-5,0,ABI,Carisma (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Carisma%2087b178c4840348dcb519efabf0ac0de8.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Carisma%2087b178c4840348dcb519efabf0ac0de8.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Intelligenza%207ba9da5116454ac5aae6d86f6480190d.md),,1,0,,,0
Natura,No,,-5,-5,0,ABI,Intelligenza (Fabritius%20Quaterocula%20(WIP)%207630fc05bd5844eba3c7c74d3184a355/Abilita%CC%80%2053ae6f3de7934c788bbc4fc8c0b18d5e/Intelligenza%207ba9da5116454ac5aae6d86f6480190d.md),,1,0,,,0
