Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Atletica%20cab4d27865b74ef1bc1eee8d14e9e270.md),,0,-5,[Nome PG] (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Info%20PG%203f8f648f857f45638404a4002935f782/%5BNome%20PG%5D%201e442b11a537488fb91a528035f66ef3.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Info%20PG%203f8f648f857f45638404a4002935f782/%5BNome%20PG%5D%201e442b11a537488fb91a528035f66ef3.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Acrobazia%20b204591c560248a9840ecc70d650ad66.md), Furtività (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Furtivita%CC%80%20f6e2fe3a5e634f00bb80b60852ad1e29.md), Rapidità di mano (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Rapidita%CC%80%20di%20mano%20c67ec5fb0a2c4fe1a5502d857e34aeb3.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Info%20PG%203f8f648f857f45638404a4002935f782/%5BNome%20PG%5D%201e442b11a537488fb91a528035f66ef3.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Arcano%2041973104854c40d8b072daad857797c1.md), Indagare (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Indagare%2001c15ae701d14d5a8b7c0549aaf959f5.md), Natura (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Natura%2059a1134b4de24c49b1cdbbe9a2ae8e54.md), Religione (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Religione%20b9e01908fc194b62ac031f5a5c7c83ef.md), Storia (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Storia%209c745dae5c3a4c95b7b162195b160aae.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Info%20PG%203f8f648f857f45638404a4002935f782/%5BNome%20PG%5D%201e442b11a537488fb91a528035f66ef3.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Addestrare%20animali%20bfe4fb5cdc4b49f1a51fae692e34008f.md), Intuizione (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Intuizione%20bcaa76509fa340ff875b46c0ba89240c.md), Medicina (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Medicina%2073991579b3cd40c6adad5348f3bff786.md), Percezione (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Percezione%20ee8f5e03229d46f6a14a0ec46c110e1e.md), Sopravvivenza (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Sopravvivenza%203ad618548aed4a7c848427dc8e3721c3.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Info%20PG%203f8f648f857f45638404a4002935f782/%5BNome%20PG%5D%201e442b11a537488fb91a528035f66ef3.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Inganno%2001d70427babd4ab4b6a477f20667a452.md), Intimidire (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Intimidire%201cbd2f4ac9084a4999913e28d25ce792.md), Intrattenere (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Intrattenere%20bbf9d99d8486452a956602be5ed7e6c7.md), Persuasione (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Persuasione%208290857939eb44779a7fe0a8bf32cfc7.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Info%20PG%203f8f648f857f45638404a4002935f782/%5BNome%20PG%5D%201e442b11a537488fb91a528035f66ef3.md),1,-5
Inganno,No,,-5,-5,0,ABI,Carisma (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Carisma%201453d89acfe849e08130db34328f0216.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Carisma%201453d89acfe849e08130db34328f0216.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Intelligenza%20437c715d247f4b11b64f49312dc2f669.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Grunt%20Martelcuore%20904d4cbd76ee43c29753bdefdc19d019/Abilita%CC%80%2030656d6a803f4118859cebbb4b9a8b94/Saggezza%20ef2a79aaea324a1285cd91a0dd76c8b8.md),,1,0,,,0
