Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Atletica%2021b1a2b0d2bf467891b2225f3ca58b6d.md),,0,-5,[Nome PG] (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Info%20PG%20ad4b6cf9f05c4823b63f24eb3fb30160/%5BNome%20PG%5D%20c0aa8acfe8ac496bb1105c3815027908.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Info%20PG%20ad4b6cf9f05c4823b63f24eb3fb30160/%5BNome%20PG%5D%20c0aa8acfe8ac496bb1105c3815027908.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Acrobazia%205ba30ad0d3904c32955ef431a5788848.md), Furtività (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Furtivita%CC%80%20e4e7200eec784f43a28d56eeef46201a.md), Rapidità di mano (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Rapidita%CC%80%20di%20mano%20da6b82c8963142df90d22ee97cf7aeea.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Info%20PG%20ad4b6cf9f05c4823b63f24eb3fb30160/%5BNome%20PG%5D%20c0aa8acfe8ac496bb1105c3815027908.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Arcano%208c27c3f31b3442d49b321884cc3c2e60.md), Indagare (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Indagare%206e3f97b165984db99c9d17573fffc490.md), Natura (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Natura%200c82ba1fc6db44d59415d192c7a2c9c6.md), Religione (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Religione%208979e9986a444f638943a3b48d4e4778.md), Storia (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Storia%20879c81291691475cb5a10c64994e0deb.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Info%20PG%20ad4b6cf9f05c4823b63f24eb3fb30160/%5BNome%20PG%5D%20c0aa8acfe8ac496bb1105c3815027908.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Addestrare%20animali%208f9f224dbc51444a838bb7044b6088e0.md), Intuizione (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Intuizione%2023d3e5a5025f442187d5ad1e7c31bab2.md), Medicina (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Medicina%20fabf09ee1a6641dc8467bc52bac47401.md), Percezione (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Percezione%20cea0430049544dda88ef28de6c90bb2e.md), Sopravvivenza (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Sopravvivenza%20a1d15e6e457946e18f54beec103fa307.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Info%20PG%20ad4b6cf9f05c4823b63f24eb3fb30160/%5BNome%20PG%5D%20c0aa8acfe8ac496bb1105c3815027908.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Inganno%20d7d45911d1ec4b898077d46ab8380d02.md), Intimidire (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Intimidire%20c8ee666699b344e7bbe1000df89d281f.md), Intrattenere (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Intrattenere%203be19aaed4334102b459bb5ee638b84b.md), Persuasione (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Persuasione%20c98855c9247542688cdaba73c1d15664.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Info%20PG%20ad4b6cf9f05c4823b63f24eb3fb30160/%5BNome%20PG%5D%20c0aa8acfe8ac496bb1105c3815027908.md),1,-5
Natura,No,,-5,-5,0,ABI,Intelligenza (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Intelligenza%20e5ef172772b544f2baf11157044cab3d.md),,1,0,,,0
Atletica,No,,-5,-5,0,ABI,Forza (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Forza%20999ccd7cab5441d0ac745ca5397e6962.md),,1,0,,,0
Intuizione,No,,-5,-5,0,ABI,Saggezza (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Saggezza%2053867c6c32964886ae17362b3a9beceb.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Kit%20(WIP)%206fa9f39f12df44b5886783e9e3370c50/Abilita%CC%80%2098914416bc5f44bc8be31a513dba9b63/Intelligenza%20e5ef172772b544f2baf11157044cab3d.md),,1,0,,,0
