Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Atletica%2040f1d253dc1b485ebec1ca264e67c3e7.md),,0,-5,[Nome PG] (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Info%20PG%204d827ff2807f4020b43bdae278238fa1/%5BNome%20PG%5D%20576263d6a6d2490a8900bb081bc30b12.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Info%20PG%204d827ff2807f4020b43bdae278238fa1/%5BNome%20PG%5D%20576263d6a6d2490a8900bb081bc30b12.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Acrobazia%2098a72fccbaa9424aa4bec0b2709c95fc.md), Furtività (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Furtivita%CC%80%2041864027415a427fbbc22acdb5236540.md), Rapidità di mano (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Rapidita%CC%80%20di%20mano%2009ff53ab405e46d4940110239a84170e.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Info%20PG%204d827ff2807f4020b43bdae278238fa1/%5BNome%20PG%5D%20576263d6a6d2490a8900bb081bc30b12.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Arcano%20a24642b220764214bcd1e1743cc63410.md), Indagare (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Indagare%201ce1591177cc42ae8043752dd0c64608.md), Natura (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Natura%2037598e09467c4a978cc42d9c27963882.md), Religione (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Religione%202309dc9551e243648c098a263f29e1ba.md), Storia (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Storia%20f14804b4200b4285963055b0c1db6ca8.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Info%20PG%204d827ff2807f4020b43bdae278238fa1/%5BNome%20PG%5D%20576263d6a6d2490a8900bb081bc30b12.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Addestrare%20animali%201d183919ef6a41ae8450cec3c77f28f1.md), Intuizione (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Intuizione%202025b30e610f43088260affea422c596.md), Medicina (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Medicina%209469dffbe64f49c4b12db3bc5204644c.md), Percezione (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Percezione%200ec9cd6669244e0e9d9ea423a3cfd700.md), Sopravvivenza (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Sopravvivenza%20078b8cc149894596a4e9be41fd7c4102.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Info%20PG%204d827ff2807f4020b43bdae278238fa1/%5BNome%20PG%5D%20576263d6a6d2490a8900bb081bc30b12.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Inganno%2094624294bf82491eb595c55a9745f9eb.md), Intimidire (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Intimidire%2085a3f7746b5d4ff48d36a02f4cb23e2a.md), Intrattenere (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Intrattenere%203e9cdcaa9e994007b5327b3a4e37358f.md), Persuasione (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Persuasione%2013080bb6e4074bb4957ab7f1cae44096.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Info%20PG%204d827ff2807f4020b43bdae278238fa1/%5BNome%20PG%5D%20576263d6a6d2490a8900bb081bc30b12.md),1,-5
Inganno,No,,-5,-5,0,ABI,Carisma (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Carisma%20af7244707a084548bc4466be6ba59a05.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Saggezza%201fa25963018f427cabd19887aebcff52.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Carisma%20af7244707a084548bc4466be6ba59a05.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Naskirophis%20120e02c652b84f2abeac36fef59c28f6/Abilita%CC%80%20da1538d735de4e138ef5740acbc7e0a6/Intelligenza%20e22f806df5dc461f8dfaf8a1e2edf43b.md),,1,0,,,0
