Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Atletica%20e1ccb898bfbb4073ab23132bd6577f52.md),,0,-5,[Nome PG] (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Info%20PG%2075172870926b4488a518a676f6c59d30/%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Info%20PG%2075172870926b4488a518a676f6c59d30/%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Acrobazia%20e57b873b4a1f416094a9bb10587dc61d.md), Furtività (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Furtivita%CC%80%205353b324f71b4995bb927f9dbdd517bf.md), Rapidità di mano (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Rapidita%CC%80%20di%20mano%209ab9e9aea2c34728b752436165079592.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Info%20PG%2075172870926b4488a518a676f6c59d30/%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Arcano%20d63040677ec246f5bfa9d1047757fa1e.md), Indagare (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Indagare%20cbac1b5858354bb6a61fd02d6bc039be.md), Natura (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Natura%20be166a0fd7cc4eefaf20137c6f474bd5.md), Religione (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Religione%2065ceb250d04d43978abc2be31f7f984b.md), Storia (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Storia%20074989d873ad4101a08487d2a72b349e.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Info%20PG%2075172870926b4488a518a676f6c59d30/%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Addestrare%20animali%202b36d690fc6346debaadfad53f7769e7.md), Intuizione (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Intuizione%20bb3095ab460646bf894218633d3ee380.md), Medicina (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Medicina%2010f69523659441f4b8a60f63f1b0b0ed.md), Percezione (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Percezione%207459f3dfe00a416885147cfcaad7fa53.md), Sopravvivenza (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Sopravvivenza%2033f941ff21dc42099bf7f56d2760f6f5.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Info%20PG%2075172870926b4488a518a676f6c59d30/%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Inganno%2048df0751377548acbcf0c2a9e1509a79.md), Intimidire (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Intimidire%205b0e99409ec44d7abf5ab65476f854c8.md), Intrattenere (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Intrattenere%208b8ffead656d4748a0f47fe7b268af5d.md), Persuasione (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Persuasione%202fe4105a312442eab4ba25b01d32fc2b.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Info%20PG%2075172870926b4488a518a676f6c59d30/%5BNome%20PG%5D%2063f5e24784314980af013077ad10c28e.md),1,-5
Persuasione,No,,-5,-5,0,ABI,Carisma (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Carisma%20374b7d7c81ad40a6bb9799020db2947e.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Saggezza%20bf4088d7986941e28251cb3d2c451c6c.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Carisma%20374b7d7c81ad40a6bb9799020db2947e.md),,1,0,,,0
Storia,No,,-5,-5,0,ABI,Intelligenza (Pippo%20Francfrog%204d15378e582d4f1db815d957fe064245/Abilita%CC%80%206c389f50c35f46369e8056828b53fcb0/Intelligenza%20dfc84c9e66244c50a87da25ce18bffc2.md),,1,0,,,0
