Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Atletica%20290bff5695cf4a24bdb749629627aeb3.md),,0,-5,[Nome PG] (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Info%20PG%200f2322afab24429cb360f81d9f366fbc/%5BNome%20PG%5D%20bce274984e0046e6a59937d2b3982a25.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Info%20PG%200f2322afab24429cb360f81d9f366fbc/%5BNome%20PG%5D%20bce274984e0046e6a59937d2b3982a25.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Acrobazia%20709a3f217b7345ba938e33b6ed6fb3ff.md), Furtività (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Furtivita%CC%80%201ec269a82e9543c688d6ec6f365d8dc7.md), Rapidità di mano (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Rapidita%CC%80%20di%20mano%20849d3fc72462459eb4a4f6e6247edc85.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Info%20PG%200f2322afab24429cb360f81d9f366fbc/%5BNome%20PG%5D%20bce274984e0046e6a59937d2b3982a25.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Arcano%20266ad578f544492bba09a4bb9f0ec73b.md), Indagare (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Indagare%20a0cf65176f5e4fcba214279cf9ae62f9.md), Natura (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Natura%20c93336594e224bd69be70041a8bdcdd4.md), Religione (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Religione%20e82ec426deac43eea961a51272b9df80.md), Storia (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Storia%200bef72eb7eb04dd681d2e8a5d6b8c5d3.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Info%20PG%200f2322afab24429cb360f81d9f366fbc/%5BNome%20PG%5D%20bce274984e0046e6a59937d2b3982a25.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Addestrare%20animali%205c251f9a4aff48038c50cdb621417ec0.md), Intuizione (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Intuizione%2044462dc6b2754c828da079606d653fe0.md), Medicina (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Medicina%200937868aef834b559ab660cba0f20988.md), Percezione (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Percezione%20ae5fb3c0cfcc40d78e146594bfe2d79e.md), Sopravvivenza (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Sopravvivenza%2021fab82756f2478b804066a78225921a.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Info%20PG%200f2322afab24429cb360f81d9f366fbc/%5BNome%20PG%5D%20bce274984e0046e6a59937d2b3982a25.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Inganno%20825b21715d6246019affadcbf097849e.md), Intimidire (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Intimidire%2044bd347264d848a19d2686dab1826cc3.md), Intrattenere (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Intrattenere%2009621cd961a14b8fb94f3afd950a521b.md), Persuasione (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Persuasione%20f16407a9a04d4db38ccbf87876e816d3.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Info%20PG%200f2322afab24429cb360f81d9f366fbc/%5BNome%20PG%5D%20bce274984e0046e6a59937d2b3982a25.md),1,-5
Furtività,No,,-5,-5,0,ABI,Destrezza (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Destrezza%20dd5c170f077848d8a51fa1ae6a28e39f.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Saggezza%20cc525e7f3fb8454981f4295705289102.md),,1,0,,,0
Inganno,No,,-5,-5,0,ABI,Carisma (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Carisma%2008e94f672d6d4d4487c8cbc9216510bd.md),,1,0,,,0
Indagare,No,,-5,-5,0,ABI,Intelligenza (Sabaku%20no%20Darude%209c414f3e551144f4acee665cab478336/Abilita%CC%80%207e175feb71844b54a1761ee14807b872/Intelligenza%2002560e777c434b27ab6ab667b0b75240.md),,1,0,,,0
