Statistica,Property,Valore,Modificatore,Tiro Salvezza,Bonus Competenza,Tags,Statistica di riferimento,Untitled Database,Bonus Competenza di Riferimento,Valore di riferimento,Link PG,Livello,Modificatore  Abilità
Forza,No,10,0,0,1,STAT,Atletica (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Atletica%20769d11da15de4524a10314a6c5e20143.md),,0,-5,[Nome PG] (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Info%20PG%20c1cdb90ff3db4272965138ed0c53ac6e/%5BNome%20PG%5D%20cfcf37a95b1a44d5aa2b4e40a14ff08a.md),1,-5
Costituzione,No,10,0,0,1,STAT,,,,,[Nome PG] (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Info%20PG%20c1cdb90ff3db4272965138ed0c53ac6e/%5BNome%20PG%5D%20cfcf37a95b1a44d5aa2b4e40a14ff08a.md),1,
Destrezza,No,10,0,0,1,STAT,"Acrobazia (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Acrobazia%20ebd6d86af66044c683f3dbf2b1f9f511.md), Furtività (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Furtivita%CC%80%20288173870f234a4fb7ba788a648a38ed.md), Rapidità di mano (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Rapidita%CC%80%20di%20mano%20ed74b87a372e4b73b7db9d17cbc781c9.md)",,"0,0,0","-5,-5,-5",[Nome PG] (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Info%20PG%20c1cdb90ff3db4272965138ed0c53ac6e/%5BNome%20PG%5D%20cfcf37a95b1a44d5aa2b4e40a14ff08a.md),1,-5
Intelligenza,No,10,0,0,1,STAT,"Arcano (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Arcano%20fb0e7bd7590544d3b0c1bb912cf644bc.md), Indagare (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Indagare%205f3e8965e2234496be7528ea4adbbfff.md), Natura (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Natura%2075d13bd48a27408696858d94543fa74b.md), Religione (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Religione%2065e615602a99484aa15f3b7fe9c7f74c.md), Storia (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Storia%2075cb23d396184a0a80e7216bd0340ea9.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Info%20PG%20c1cdb90ff3db4272965138ed0c53ac6e/%5BNome%20PG%5D%20cfcf37a95b1a44d5aa2b4e40a14ff08a.md),1,-5
Saggezza,No,10,0,0,1,STAT,"Addestrare animali (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Addestrare%20animali%20bcfb171abc124a01941f8afdf5417ee9.md), Intuizione (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Intuizione%20e48936487a4a4c56b100e0882ce0b6f2.md), Medicina (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Medicina%2018e47a3a3d614899b54e6501c7926666.md), Percezione (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Percezione%20986e8ebca0eb4d809e124bdba36e3a8b.md), Sopravvivenza (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Sopravvivenza%200896ce2e3be54cdfb4eea1e2c2595792.md)",,"0,0,0,0,0","-5,-5,-5,-5,-5",[Nome PG] (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Info%20PG%20c1cdb90ff3db4272965138ed0c53ac6e/%5BNome%20PG%5D%20cfcf37a95b1a44d5aa2b4e40a14ff08a.md),1,-5
Carisma,No,10,0,0,1,STAT,"Inganno (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Inganno%2001e3be968ce64c5cb1b7ee53dcd95963.md), Intimidire (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Intimidire%203dbdac5fca7640059838d9c5ca3c7cdc.md), Intrattenere (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Intrattenere%204a0ef08228da4d62b5cbebf1fce326a4.md), Persuasione (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Persuasione%206afa178346794034a6108d3d85166f66.md)",,"0,0,0,0","-5,-5,-5,-5",[Nome PG] (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Info%20PG%20c1cdb90ff3db4272965138ed0c53ac6e/%5BNome%20PG%5D%20cfcf37a95b1a44d5aa2b4e40a14ff08a.md),1,-5
Inganno,No,,-5,-5,0,ABI,Carisma (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Carisma%204f10486c74e8479ba3103d0ab81aee18.md),,1,0,,,0
Persuasione,No,,-5,-5,0,ABI,Carisma (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Carisma%204f10486c74e8479ba3103d0ab81aee18.md),,1,0,,,0
Sopravvivenza,No,,-5,-5,0,ABI,Saggezza (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Saggezza%20822b138e72f0470897e902e48c84450f.md),,1,0,,,0
Furtività,No,,-5,-5,0,ABI,Destrezza (Stalag%20Might%2082c32b9a749a4543aae2e78474794fe6/Abilita%CC%80%201e7ce6964e984b8d87837edf5c158b9c/Destrezza%20a28d08f975b342618d1aee5a92d693a3.md),,1,0,,,0
