Name,Tags
Amarinda Damar,NPC
Arvinio Scarnati,NPC
Enzhosor Ent Ino,NPC
Fran,"NPC, Quartiermastro"
Gi Mi 1,NPC
Girolamo Giacomino Gorgonzola,NPC
Hakram,NPC
Leona Narendra Pahaton,NPC
Lucius III di Dishartha (Lucius Narendra Pahaton),NPC
Marpalo Rem,"NPC, Quartiermastro"
Nicolos,NPC
Rhyderch Hayenne,NPC
Sam Windrider,"NPC, Quartiermastro"
Silvio Berlusconi,NPC
Simon Ricchiardo di Fagot,NPC
Sitahu,"NPC, Quartiermastro"
Tholston,NPC
Verde Windrider,NPC
Victor Hamburger,NPC
Virginio Cotti,NPC
